,date,sentiwordscore,vader_compound_scores,count,average_swn_scores,average_vader_scores
10,2018-09-11,"[1.5, -0.625, 0.0, 0.625, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.375, 0.0, 0.0, 0.5, 0.0, 0.0, -0.625, 0.0, 0.0, 0.0, -0.25, 0.625, -0.25, 0.0, 0.0, 0.0, 0.0, 0.0, -0.75, 0.0, 0.0, 0.0, 0.0, 0.625, 0.0, 0.0, 0.0, 0.0, -0.125, 0.625, 1.375, 0.0, 0.375, 0.0, -0.375, -0.875, -0.125, 0.75, 0.0, 0.0, 0.125, 0.0, -0.125, 0.0, 1.625, 0.625, 0.625, 0.125, 0.0, 1.0, 0.375, 0.125, 0.0, 0.0, 0.0, 0.0, -0.625, 0.375, -0.375, -0.125, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, -0.625, 0.0, 0.0, 1.25, 0.0, 0.5, 0.0, 0.0, 0.0]","[0.8442, 0.0, 0.0, 0.4939, 0.0, 0.6297, 0.5411, 0.0, 0.5994, 0.0, 0.0, 0.0, 0.0, 0.7096, 0.765, 0.4003, 0.0, 0.0, 0.0, 0.34, 0.5848, 0.6204, 0.0, 0.4215, 0.743, 0.0, 0.0, 0.6486, 0.128, -0.3716, -0.3818, 0.8442, 0.34, 0.4767, 0.1139, 0.0, 0.0, 0.2263, 0.4019, 0.4588, 0.6249, 0.4215, 0.0, 0.0, 0.3818, -0.296, 0.0, 0.5994, 0.2263, 0.0, -0.3182, 0.0, 0.4939, 0.0, 0.4404, -0.4927, 0.4767, 0.5093, 0.0, -0.3818, -0.5983, 0.7525, 0.0, 0.0, 0.2263, 0.0, 0.6222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8972, 0.802, 0.0, 0.0, 0.0, -0.4215, 0.0, 0.694, 0.0, 0.4215, 0.0]",85,0.11470588235294117,0.19599176470588228
11,2018-09-12,"[0.125, 0.25, -0.375, 0.375, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.25, 0.125, -0.875, 0.0, 0.0, 0.625, 0.0, 0.0, 1.125, -0.375, 0.625, 0.625, 0.625, -0.125, -0.75, 0.125, 0.0, 0.5, 0.0, -0.5, 0.0, 0.375, 0.375, 0.375, -0.125, -0.375, -0.25, 0.375, 0.0, 0.0, 0.125, 0.0, 1.5, 0.0, 0.875, 0.0, 0.25, 0.0, 0.5, 0.5, 0.0, -0.125, 0.375, 0.5, -0.75, 0.25, 0.0]","[0.7254, 0.4019, -0.7324, 0.0, -0.1405, 0.128, 0.0, 0.0, 0.5574, 0.0, 0.0, 0.0, -0.7703, 0.4588, 0.0, 0.6369, 0.0, -0.0258, 0.7269, 0.0, 0.7125, 0.0, 0.5423, 0.0, -0.1027, 0.5826, 0.0, 0.9573, 0.0, 0.0, 0.6705, 0.9001, 0.4588, 0.5106, -0.638, 0.0, 0.4588, 0.0, 0.0, 0.0, 0.4753, 0.0, 0.8908, -0.7351, 0.4404, 0.0, 0.0, 0.0, 0.5719, 0.4767, 0.0, 0.4404, 0.3595, 0.7339, 0.5481, 0.0, 0.0]",57,0.1425438596491228,0.19685964912280698
12,2018-09-13,"[-0.625, -0.25, 0.875, 0.0, 0.375, 0.5, 0.375, 0.375, 0.25, -0.625, 0.0, 0.375, 0.75, 1.0, 0.0, 0.0, 0.875, 0.0, 0.0, -0.5, 0.0, 0.0, -0.125, 0.0, 0.0, 0.875, 0.5, 0.0, 0.0, 0.375, 0.375, 0.0, 0.0, -0.125, 0.375, 1.375, 0.75, 0.0, 0.0, 0.375, 0.0, 0.0, -1.0, 0.0, 0.75, 0.0, 0.0, 0.0, -0.75, 0.0, 1.375, 0.0, -0.75, 0.0, -0.125, 0.0, 0.125, 0.0, 0.0, 1.5, 0.0, 0.0, 0.5, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, -0.375, 0.0, 0.75, 0.375]","[0.0072, 0.0, 0.1531, 0.0, 0.0, -0.6571, 0.4753, 0.2023, 0.0258, -0.5974, 0.0, 0.8221, 0.0, 0.7579, 0.3595, -0.5267, 0.0, 0.0, 0.3818, -0.3818, 0.0, -0.1531, 0.0, 0.4215, 0.0, 0.6335, -0.3182, 0.0, 0.3182, 0.4574, 0.7184, 0.5838, 0.0, 0.0, 0.5106, 0.9794, 0.4199, 0.0, 0.9285, 0.5106, 0.0, 0.0, 0.6731, 0.0, 0.5106, 0.0, 0.4559, 0.0, 0.5106, 0.836, -0.2007, 0.0, -0.6486, -0.3612, -0.638, 0.0, 0.0, 0.0, -0.5423, -0.1779, 0.0, 0.8885, 0.34, 0.0, 0.0, 0.0, 0.3843, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.5423, 0.4003, 0.7568]",77,0.14935064935064934,0.12568311688311687
13,2018-09-14,"[0.0, 0.0, 0.0, 0.875, 0.0, 0.0, 0.125, 0.0, 0.0, 0.25, 0.625, -0.625, 1.125, 0.0, 0.375, 0.0, 0.0, 0.0, 0.875, 0.0, 0.0, 0.375, 0.0, -0.25, -0.25, -0.25, 0.125, 0.0, 0.875, 0.0, 0.0, 0.0, 0.0, 0.0, -0.75, 0.0, 0.0, 0.125, 1.25, 0.0, 0.5, 0.0, -0.625, 0.0, 0.0, 0.0, 0.5, 0.0, -0.25, 0.75, 0.0, 0.0, -0.875, 0.5, 0.75, 0.375, -0.625, 0.375, 0.0, 0.0, 0.0, 0.0, -0.75, -0.25, 0.0, 0.75, 0.375, 0.125, 0.375, 0.5]","[0.0, 0.0, 0.0, 0.4767, 0.0, 0.0, 0.0, 0.7707, 0.0, 0.5229, 0.6486, -0.6808, 0.7177, 0.0, 0.34, 0.0, 0.0, 0.0, 0.8271, 0.0258, 0.0, 0.0, 0.0, 0.8695, 0.0, 0.765, 0.4019, 0.0, 0.4404, 0.0, 0.0, 0.0, 0.6369, -0.1027, 0.68, -0.296, -0.2263, 0.4215, 0.5848, 0.0, 0.0, 0.4404, 0.3612, 0.8697, 0.8856, 0.0, 0.0, 0.0, 0.0258, 0.5106, 0.0, 0.3612, 0.7579, 0.6552, 0.8663, 0.3595, 0.4005, 0.296, -0.34, 0.296, 0.296, 0.0, -0.6486, -0.0191, 0.0, 0.6486, -0.0772, -0.4003, 0.6523, 0.0]",70,0.10535714285714286,0.21459
14,2018-09-15,"[0.0, 0.25, 0.0, -0.25, 0.5, 0.25, 0.625, 0.0, -0.25, 0.0, 0.5, 0.0, 0.0, 0.875, 0.0, 0.375, 0.0, 0.0, -0.25, 0.0, 0.75, 0.375, 0.0, 0.0, 0.0, 0.75, 0.125, 0.0, 0.0, 0.125, -0.75, 0.0, 0.0, 0.0, -1.75, 0.625, 0.0, 1.625, 0.125, -0.125, 0.0, 1.125, 0.25, 0.0, 0.0, 0.0, 0.5, 0.75, -0.25, 0.875, 0.0, 0.125, -0.625, -0.75, 0.0, 0.0, 1.25, 0.0, 0.0, 0.0, 0.75, -0.5, -0.75, 0.0]","[0.0, 0.4118, 0.0, 0.296, -0.3331, -0.4404, 0.0, 0.0, 0.7256, 0.0, -0.2434, 0.8478, 0.0, 0.4404, -0.6351, 0.0, 0.296, 0.4215, 0.296, 0.0, 0.34, 0.296, 0.2023, 0.0, 0.0, 0.7269, 0.0, 0.0, 0.4767, 0.0, 0.3664, 0.0, 0.0, 0.0, -0.4633, 0.3612, 0.0, 0.6369, -0.5603, 0.6269, 0.0, 0.4547, 0.3365, 0.0, 0.4019, 0.0, 0.7269, 0.0, 0.2023, 0.8353, 0.0, 0.4215, 0.3724, -0.4767, 0.0, 0.0, -0.5859, 0.3612, 0.0, 0.4215, 0.6369, -0.7269, 0.5399, 0.0]",64,0.11328125,0.1408484375
15,2018-09-16,"[-0.75, 0.0, 0.375, 0.0, 0.0, 0.0, 0.0, 0.375, -0.25, 0.125, 0.0, 0.0, 0.625, -0.375, -0.625, 0.0, 0.0, 0.0, 0.375, 0.375, 0.625, 0.0, 0.0, 1.125, 0.0, 0.0, 0.0, 0.0, 0.125, -0.125, 0.375, -0.375, 0.0, 0.125, 0.125, -0.25, 0.375, 0.125, 1.25, 0.625, 0.0, 0.5, -0.75, 0.0, 0.125]","[-0.1779, 0.0, 0.2003, 0.0, -0.9423, -0.5859, 0.4019, 0.3182, 0.0, 0.0, 0.8455, 0.0, -0.5574, -0.4824, 0.0, 0.0, 0.0, 0.0, 0.2732, 0.128, 0.3786, 0.4753, 0.0, 0.6597, 0.0, -0.636, 0.0, 0.0, 0.69, -0.0772, 0.0, -0.7684, 0.2023, 0.0, 0.1779, 0.4215, 0.0, 0.4019, 0.2023, 0.7845, 0.0772, 0.0, 0.0, 0.0, 0.4215]",45,0.09444444444444444,0.06294
16,2018-09-17,"[-0.125, 0.25, 0.5, 0.0, 0.0, -0.5, 0.0, -2.875, -0.125, 0.75, 0.0, 0.0, 0.875, 0.0, 0.0, 0.0, 0.0, 0.5, -0.375, 0.125, 0.75, 0.0, 0.0, -0.125, 0.0, 0.0, -0.25, 0.125, 0.0, 0.0, 0.25, 0.0, 0.625, -0.375, 0.0, 0.0, 0.0, 0.125, -0.625, 0.0, 0.0, 0.75, 0.75, 0.0, -0.25, -0.75, 0.0, 0.0, 0.0, 0.0, 0.125, 0.75, 0.5, 0.0, -0.125, 0.0, 0.125, -0.125, -0.25, 0.0, 0.25, -0.625, -0.875, -0.375, -0.125, 0.75, 0.0, 1.625, 0.0]","[0.0, 0.0, 0.7184, 0.1655, 0.0, 0.0, -0.357, -0.8531, 0.0, 0.6369, 0.0, 0.0, -0.1779, 0.4574, 0.34, 0.0, 0.3612, 0.5093, 0.5346, 0.3612, 0.0, 0.7351, -0.5106, -0.638, 0.0, 0.3818, 0.0, 0.0, 0.3182, 0.5562, 0.7531, 0.4215, 0.5411, 0.1531, 0.0, 0.0, 0.0, 0.0, 0.3382, 0.5106, 0.4215, 0.6997, 0.4019, 0.0, 0.5859, -0.1779, -0.296, 0.0, 0.4939, 0.0, 0.0, 0.3595, 0.2732, 0.0, 0.0, 0.3626, 0.1779, 0.8585, 0.5859, 0.0, 0.4588, 0.0, -0.4404, 0.296, 0.0, -0.3252, 0.0, 0.8442, 0.0]",69,0.02355072463768116,0.17154782608695654
17,2018-09-18,"[-0.75, 0.0, 0.0, -0.375, -0.25, 0.0, 0.25, -0.125, 0.0, 0.375, -0.75, 0.0, 0.0, 0.0, 0.375, 1.0, 0.0, 0.0, -0.25, 0.125, 0.0, -0.125, 0.0, 1.0, 0.375, 0.0, 0.625, -0.125, 1.0, 0.0, 0.0, 0.25, 0.0, -0.25, -0.25, 0.0, 0.0, 0.375, 0.0, 0.0, 0.5, 0.375, -0.25, 0.0, 0.0, 0.0, -0.75]","[0.6514, 0.0, 0.0, 0.5106, 0.5859, 0.4215, 0.4389, 0.3612, 0.5766, 0.8374, 0.0258, 0.0, 0.0, 0.0, 0.6412, 0.5255, 0.0, -0.3802, 0.0, 0.0, 0.0, 0.0, 0.4215, 0.4404, 0.5106, 0.0, 0.3336, 0.0, 0.4767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1511, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6369, 0.1779, 0.0, -0.5574, 0.0, 0.0, 0.0258]",47,0.05053191489361702,0.16623191489361702
18,2018-09-19,"[0.125, 0.125, 0.375, 0.0, 0.0, -0.5, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.375, -0.25, 0.0, 1.5, 1.25, 0.125, -0.125, 0.25, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.375, 0.0, 0.375, 0.375, 0.0, 0.0, 0.5, 1.75, -0.5, 0.125, 0.0, -1.875, 0.0, 0.0, -0.375, -0.375, 0.5, 0.0, 0.0, 0.0, 0.375, 0.0, -0.125, 0.0]","[0.1779, 0.7667, 0.0, 0.4215, 0.0, -0.0772, 0.0, 0.1779, 0.0, 0.5574, 0.0, 0.6369, 0.0, 0.1593, -0.6705, 0.8832, 0.4019, 0.0, 0.1511, 0.0, 0.0, 0.0, -0.5588, 0.0, -0.508, 0.0, 0.3612, 0.0, 0.8192, 0.4215, 0.34, 0.0, 0.1779, 0.8467, 0.2732, 0.2732, 0.0, -0.4215, 0.0, 0.0, -0.4137, 0.0, 0.8622, 0.8555, 0.0, 0.0, -0.34, 0.0, 0.0, 0.0]",50,0.1,0.131494
19,2018-09-20,"[0.25, 0.125, 0.0, 0.0, 0.125, 0.0, 0.125, -0.75, 0.0, 0.0, 0.125, 0.0, 0.625, 0.0, 0.375, 0.0, 0.375, -0.125, -0.5, 0.0, -0.25, 0.0, 0.0, 0.75, 0.375, -0.25, 0.625, 0.125, 0.0, 0.375, 0.0, 0.0, 0.0, 0.375, 0.0, 0.625, -0.875, 0.0, 0.0, 0.0, 1.0, 0.375, 1.0, 0.25, -0.25, 0.0, 0.0, 0.0, 0.0, -0.625, 0.625, 0.5, 0.0, -0.125]","[0.3182, -0.3182, -0.7557, 0.0, 0.2481, 0.3612, -0.0516, -0.0772, 0.2023, 0.4215, 0.0, 0.34, 0.3818, 0.0, 0.2732, -0.5994, 0.0, 0.0, -0.1531, 0.0, 0.4497, 0.0, 0.368, 0.0, 0.0, -0.5423, 0.6114, 0.0, 0.5473, 0.4404, 0.0, 0.0, 0.0, 0.128, 0.0, 0.5859, -0.3182, 0.0, 0.2559, 0.9622, 0.8402, 0.0, 0.7351, 0.34, 0.0, 0.6739, -0.5423, 0.0, 0.7845, 0.0, 0.0, 0.9151, 0.0, 0.4749]",54,0.09953703703703703,0.15371851851851853
